original_value,target_mean,target_std,count
958,7122.0,0.0,1
965,7098.0,0.0,1
971,7098.0,0.0,1
973,7083.0,0.0,1
974,7099.0,0.0,1
975,7126.0,0.0,1
979,7116.0,0.0,1
981,7109.0,1.41,2
982,7093.0,0.0,1
985,7124.0,9.9,2
986,7112.0,19.8,2
987,7057.0,0.0,1
988,7183.0,0.0,1
989,7090.0,0.0,1
990,7119.75,33.86,4
991,7130.33,24.01,3
992,7104.0,0.0,1
993,7113.83,27.12,6
994,7117.5,16.26,2
995,7111.71,42.24,7
996,7114.0,53.07,5
997,7100.5,55.14,4
998,7010.0,38.18,2
999,7151.67,13.05,3
1000,7136.75,39.98,4
1001,7107.5,34.65,2
1002,7114.83,71.82,6
1003,7155.86,27.36,7
1004,7137.29,19.5,7
1005,7105.43,32.76,7
1006,7136.82,47.57,11
1007,7148.4,47.82,5
1008,7092.62,46.06,8
1009,7139.2,54.08,15
1010,7148.67,40.61,15
1011,7137.5,52.17,18
1012,7134.44,47.5,16
1013,7147.92,44.79,12
1014,7134.85,49.1,13
1015,7155.57,52.94,21
1016,7149.39,47.9,18
1017,7136.65,33.88,20
1018,7160.0,49.36,13
1019,7153.65,36.34,17
1020,7164.43,54.92,23
1021,7140.33,42.22,21
1022,7137.76,65.1,25
1023,7132.25,52.48,28
1024,7146.57,66.74,28
1025,7149.85,48.3,27
1026,7145.27,54.26,37
1027,7162.95,46.87,38
1028,7159.82,62.93,45
1029,7170.62,66.9,39
1030,7163.94,66.1,32
1031,7152.97,60.16,32
1032,7157.44,66.0,34
1033,7158.34,61.36,32
1034,7169.45,66.37,49
1035,7167.75,60.18,40
1036,7170.6,75.06,48
1037,7183.14,62.53,44
1038,7174.63,70.34,41
1039,7162.66,64.19,44
1040,7163.27,60.75,49
1041,7184.26,70.63,43
1042,7194.05,56.58,64
1043,7172.18,69.75,40
1044,7178.62,55.62,52
1045,7187.58,69.36,59
1046,7178.38,68.27,52
1047,7184.08,76.75,52
1048,7187.32,68.9,57
1049,7181.04,57.92,52
1050,7200.56,67.78,75
1051,7194.18,66.59,68
1052,7185.22,62.85,64
1053,7204.0,70.14,75
1054,7196.37,75.49,75
1055,7185.58,88.23,77
1056,7186.08,70.85,74
1057,7203.25,73.81,69
1058,7201.0,71.51,79
1059,7188.09,82.84,85
1060,7184.09,74.55,76
1061,7195.65,77.47,80
1062,7203.88,82.7,77
1063,7191.61,78.26,83
1064,7195.79,77.13,77
1065,7205.77,88.19,73
1066,7216.59,77.49,88
1067,7199.73,73.01,82
1068,7224.48,83.27,73
1069,7204.67,78.38,92
1070,7193.73,87.56,94
1071,7191.3,81.89,93
1072,7223.85,86.5,106
1073,7209.04,77.77,80
1074,7198.07,91.98,106
1075,7222.91,72.11,86
1076,7204.15,84.7,92
1077,7208.32,86.94,105
1078,7201.34,86.63,86
1079,7219.28,85.8,90
1080,7208.76,85.93,92
1081,7212.97,88.5,106
1082,7236.5,99.97,105
1083,7210.85,86.75,92
1084,7218.28,98.65,101
1085,7228.77,94.6,116
1086,7214.7,96.33,93
1087,7225.13,102.35,87
1088,7224.94,89.36,109
1089,7234.37,87.73,110
1090,7228.14,99.94,104
1091,7226.13,91.29,103
1092,7232.68,90.15,100
1093,7225.26,88.38,109
1094,7236.9,101.25,112
1095,7242.17,106.86,96
1096,7229.24,101.08,115
1097,7231.78,89.18,108
1098,7262.45,87.04,92
1099,7226.03,99.06,124
1100,7245.42,107.93,121
1101,7251.88,113.71,104
1102,7233.02,91.15,103
1103,7244.43,97.33,116
1104,7224.86,89.65,128
1105,7237.34,98.19,114
1106,7254.95,92.34,132
1107,7243.28,102.14,126
1108,7251.53,100.68,125
1109,7252.13,103.48,127
1110,7254.3,97.96,131
1111,7267.96,106.17,149
1112,7275.93,111.1,144
1113,7262.93,101.18,134
1114,7257.05,106.86,130
1115,7260.98,108.87,128
1116,7277.64,107.55,132
1117,7258.26,104.09,112
1118,7249.31,112.73,120
1119,7262.49,111.25,125
1120,7266.34,108.42,147
1121,7251.88,103.89,135
1122,7266.97,103.98,134
1123,7279.29,109.22,124
1124,7271.16,102.57,143
1125,7276.52,108.31,120
1126,7290.09,107.67,146
1127,7286.45,115.47,125
1128,7290.34,107.6,150
1129,7273.97,105.36,142
1130,7299.79,106.72,124
1131,7276.81,120.66,152
1132,7286.54,108.58,115
1133,7299.33,110.36,146
1134,7291.21,112.99,140
1135,7284.64,117.74,160
1136,7304.39,116.51,134
1137,7326.74,112.44,131
1138,7315.45,114.84,125
1139,7311.19,104.88,112
1140,7322.4,107.72,140
1141,7309.7,117.41,117
1142,7299.25,115.83,135
1143,7304.85,120.15,147
1144,7322.68,116.99,122
1145,7313.4,120.65,146
1146,7319.33,124.17,128
1147,7299.73,115.24,142
1148,7317.17,134.7,145
1149,7331.49,124.09,157
1150,7324.86,129.72,145
1151,7327.6,122.86,126
1152,7324.99,117.46,110
1153,7328.52,123.06,136
1154,7337.21,110.38,136
1155,7343.39,127.52,132
1156,7336.76,118.87,150
1157,7336.02,135.07,124
1158,7344.82,129.26,120
1159,7370.43,137.35,139
1160,7363.4,128.74,132
1161,7344.17,143.3,96
1162,7375.13,129.57,136
1163,7334.89,141.22,132
1164,7369.64,127.31,141
1165,7357.15,139.52,118
1166,7369.1,136.7,129
1167,7340.77,135.98,136
1168,7356.0,139.23,116
1169,7337.93,143.04,127
1170,7374.33,137.99,127
1171,7385.62,148.83,132
1172,7355.1,134.16,119
1173,7378.42,145.25,122
1174,7380.06,135.18,136
1175,7392.45,136.79,121
1176,7378.87,143.44,122
1177,7377.96,139.58,122
1178,7384.71,146.3,116
1179,7391.66,143.54,122
1180,7383.14,140.34,103
1181,7374.65,154.16,107
1182,7386.8,159.56,136
1183,7389.8,152.46,109
1184,7421.14,148.3,93
1185,7397.41,151.63,120
1186,7401.44,139.33,102
