original_value,target_mean,target_std,count
1187,7412.4,147.8,132
1188,7446.6,137.69,98
1189,7415.88,148.0,106
1190,7435.52,158.97,107
1191,7444.02,153.35,129
1192,7402.59,158.64,116
1193,7420.85,165.13,93
1194,7442.33,150.7,117
1195,7418.33,151.37,125
1196,7457.96,168.73,104
1197,7413.26,155.5,105
1198,7446.74,170.85,120
1199,7434.45,157.61,118
1200,7399.35,158.33,103
1201,7420.78,161.89,112
1202,7435.08,152.9,105
1203,7449.44,160.18,111
1204,7449.2,157.9,107
1205,7445.49,167.52,108
1206,7440.51,171.54,79
1207,7430.49,156.48,94
1208,7457.43,167.8,96
1209,7467.15,161.49,93
1210,7479.63,171.64,110
1211,7439.57,157.36,79
1212,7455.63,156.61,101
1213,7486.9,145.96,96
1214,7449.1,177.96,114
1215,7450.08,166.18,106
1216,7470.13,173.34,84
1217,7450.88,180.8,108
1218,7481.72,172.07,99
1219,7448.81,167.65,98
1220,7471.6,161.1,88
1221,7459.48,168.55,77
1222,7427.43,168.74,91
1223,7477.2,164.24,102
1224,7500.63,175.24,107
1225,7507.62,179.86,87
1226,7479.09,156.96,101
1227,7468.53,169.66,110
1228,7514.87,184.47,97
1229,7496.77,176.6,96
1230,7461.84,168.64,111
1231,7514.52,152.06,80
1232,7481.4,178.79,99
1233,7471.75,180.5,110
1234,7473.97,187.53,97
1235,7495.6,184.3,108
1236,7477.05,171.56,100
1237,7437.59,177.14,96
1238,7477.21,189.65,109
1239,7503.16,189.49,96
1240,7517.8,169.12,118
1241,7482.39,189.72,83
1242,7521.58,181.16,102
1243,7521.21,175.91,114
1244,7523.63,183.98,95
1245,7495.8,176.96,103
1246,7525.66,185.37,100
1247,7544.91,176.64,86
1248,7529.31,187.51,85
1249,7507.33,180.76,100
1250,7522.84,183.95,95
1251,7541.43,179.75,117
1252,7515.9,185.53,104
1253,7523.2,173.73,94
1254,7514.38,176.28,99
1255,7510.09,183.4,106
1256,7568.12,173.03,97
1257,7544.45,192.08,85
1258,7564.93,199.27,94
1259,7582.12,176.23,111
1260,7534.25,210.62,100
1261,7553.0,184.47,104
1262,7606.43,189.42,100
1263,7537.22,214.39,100
1264,7565.67,187.0,100
1265,7554.5,188.26,108
1266,7561.38,211.99,110
1267,7581.58,175.53,104
1268,7583.62,189.22,90
1269,7589.74,205.76,93
1270,7586.21,197.42,110
1271,7571.0,209.39,91
1272,7583.51,193.36,93
1273,7551.81,202.64,91
1274,7587.2,213.84,81
1275,7577.94,196.35,88
1276,7603.4,187.33,92
1277,7564.27,198.2,81
1278,7614.97,181.23,104
1279,7593.23,186.15,93
1280,7628.99,176.42,82
1281,7657.64,184.57,86
1282,7609.04,181.59,105
1283,7603.48,219.93,83
1284,7605.9,217.77,83
1285,7639.07,189.33,87
1286,7624.81,185.99,72
1287,7635.25,197.16,95
1288,7642.08,206.59,88
1289,7638.9,200.75,79
1290,7616.91,203.37,93
1291,7593.87,189.97,87
1292,7609.02,223.77,89
1293,7625.81,209.31,102
1294,7644.46,201.74,91
1295,7648.9,197.27,105
1296,7608.1,224.16,67
1297,7627.09,209.68,91
1298,7665.0,209.67,106
1299,7618.55,214.7,94
1300,7642.19,217.95,85
1301,7629.13,202.73,70
1302,7640.96,206.18,84
1303,7648.16,218.54,74
1304,7638.33,239.79,69
1305,7678.23,223.08,86
1306,7642.77,233.12,81
1307,7698.33,224.25,76
1308,7650.18,204.4,77
1309,7658.18,215.5,82
1310,7684.97,228.41,91
1311,7636.6,238.78,84
1312,7701.0,210.84,101
1313,7636.81,231.28,80
1314,7640.43,248.8,81
1315,7698.2,232.99,99
1316,7670.09,231.02,89
1317,7625.14,250.69,96
1318,7626.41,266.19,108
1319,7675.27,247.76,83
1320,7649.18,248.99,88
1321,7667.43,240.91,88
1322,7709.99,232.9,79
1323,7674.82,262.27,88
1324,7668.82,250.72,76
1325,7632.32,266.44,98
1326,7627.55,264.59,102
1327,7663.66,266.53,99
1328,7631.75,286.96,80
1329,7634.1,258.44,92
1330,7723.35,219.37,113
1331,7599.21,279.77,92
1332,7631.41,252.47,95
1333,7605.15,278.67,97
1334,7564.14,249.0,83
1335,7610.17,278.76,96
1336,7574.21,263.7,90
1337,7614.55,280.81,104
1338,7663.19,267.38,111
1339,7639.33,303.13,84
1340,7607.21,283.82,108
1341,7587.28,279.83,112
1342,7607.88,300.2,116
1343,7600.38,294.27,116
1344,7582.22,297.07,104
1345,7613.37,287.52,116
1346,7598.05,268.17,110
1347,7566.97,264.71,106
1348,7650.85,291.4,116
1349,7569.23,264.33,116
1350,7598.15,289.02,132
1351,7587.59,311.51,105
1352,7666.62,295.03,120
1353,7583.5,288.35,125
1354,7559.43,282.52,134
1355,7528.12,274.22,121
1356,7623.98,307.82,122
1357,7570.49,298.21,138
1358,7660.72,291.03,126
1359,7567.5,322.02,109
1360,7578.11,297.7,116
1361,7636.46,311.86,122
1362,7617.57,321.49,120
1363,7609.11,299.02,122
1364,7546.83,307.93,139
1365,7551.01,300.69,138
1366,7578.1,303.03,136
1367,7527.09,304.19,108
1368,7590.51,300.52,120
1369,7569.87,306.55,125
1370,7566.65,301.89,145
1371,7536.49,301.02,150
1372,7577.51,319.41,119
1373,7590.01,303.08,114
1374,7584.54,311.1,150
1375,7553.54,324.38,132
1376,7511.95,324.44,117
1377,7561.13,331.35,140
1378,7543.58,317.55,141
1379,7608.36,311.02,111
1380,7545.16,308.11,120
1381,7527.28,324.11,131
1382,7600.94,328.38,138
1383,7628.54,352.42,131
1384,7587.1,327.98,123
1385,7596.74,337.69,143
1386,7567.29,339.27,107
1387,7581.51,321.28,114
1388,7582.54,325.32,124
1389,7582.47,346.96,118
1390,7544.63,337.36,130
1391,7566.07,322.35,112
1392,7659.16,335.32,133
1393,7606.48,332.04,107
1394,7600.88,342.92,107
1395,7577.59,317.39,125
1396,7604.48,351.92,125
1397,7593.65,351.51,124
1398,7539.98,346.08,123
1399,7580.5,350.13,118
1400,7668.18,336.17,110
1401,7574.72,324.52,115
1402,7618.1,359.88,123
1403,7626.37,358.92,123
1404,7660.41,366.45,115
1405,7676.75,372.12,110
1406,7680.32,359.56,119
1407,7662.24,360.99,108
1408,7603.81,353.41,119
1409,7613.74,370.63,108
1410,7669.58,362.97,101
1411,7642.93,367.59,122
1412,7637.5,371.93,104
1413,7698.5,351.27,100
1414,7652.71,358.54,104
1415,7678.35,369.27,85
1416,7670.15,374.43,111
1417,7674.93,364.66,124
1418,7667.26,358.3,111
1419,7734.85,381.96,120
1420,7634.83,387.55,95
1421,7763.96,343.98,112
1422,7700.74,399.42,101
1423,7691.98,369.06,109
1424,7773.34,361.46,119
1425,7739.91,383.22,113
1426,7672.88,353.19,94
1427,7741.57,396.32,108
1428,7729.03,355.99,107
1429,7745.52,365.25,124
1430,7712.78,390.37,106
1431,7719.65,382.2,88
1432,7753.02,381.14,110
1433,7680.96,363.61,115
1434,7749.31,401.61,120
1435,7749.38,372.46,100
1436,7720.62,377.13,99
1437,7644.59,425.7,105
1438,7702.49,377.21,136
1439,7787.45,372.64,114
1440,7690.56,377.04,127
1441,7791.74,381.46,102
1442,7780.16,356.39,127
1443,7729.51,393.47,123
1444,7778.79,372.39,126
1445,7739.7,389.86,105
1446,7775.74,368.4,133
1447,7775.73,381.75,101
1448,7779.22,376.34,136
1449,7757.74,385.27,137
1450,7737.41,384.71,135
1451,7826.98,358.62,119
1452,7834.55,363.21,116
1453,7763.53,399.18,168
1454,7901.49,370.84,132
1455,7827.1,378.48,137
1456,7866.63,328.48,138
1457,7823.08,368.22,160
1458,7791.57,373.34,151
1459,7830.53,386.37,147
1460,7843.88,355.29,140
1461,7858.97,368.28,145
1462,7841.77,386.25,161
1463,7852.19,376.13,155
1464,7890.22,381.16,174
1465,7894.2,370.82,164
1466,7914.18,337.25,166
1467,7895.29,370.15,154
1468,7924.48,348.42,187
1469,7919.18,356.51,171
1470,7879.16,382.25,181
1471,7968.15,318.65,176
1472,7980.0,315.96,214
1473,7931.72,351.73,184
1474,7972.54,331.05,179
1475,7926.63,369.37,200
1476,7988.11,341.1,211
1477,7969.34,343.45,211
1478,8012.8,318.62,182
1479,7939.96,381.29,200
1480,7989.42,332.29,205
1481,8003.92,351.77,213
1482,7982.18,343.11,204
1483,7980.73,361.03,215
1484,8010.01,296.91,261
1485,8000.21,348.81,271
1486,8025.24,344.93,249
1487,8024.93,340.24,250
1488,8028.57,331.0,247
1489,8046.11,307.58,278
1490,8048.68,320.65,228
1491,8049.55,295.24,269
1492,8078.64,263.7,276
1493,8063.38,321.85,311
1494,8071.41,314.85,307
1495,8113.2,285.58,281
1496,8101.66,284.18,269
1497,8101.82,286.64,276
1498,8100.86,275.79,322
1499,8097.25,308.36,262
1500,8095.71,290.08,324
1501,8114.29,270.15,317
1502,8096.44,289.66,319
1503,8138.17,281.59,360
1504,8107.79,323.94,325
1505,8122.34,296.16,357
1506,8152.05,258.64,321
1507,8116.89,289.81,394
1508,8149.45,267.61,364
1509,8156.69,244.45,342
1510,8168.57,242.3,410
1511,8174.24,248.4,372
1512,8182.05,240.71,388
1513,8151.52,291.27,391
1514,8161.72,273.78,417
1515,8168.42,253.13,403
1516,8157.26,278.24,404
1517,8184.12,244.28,427
1518,8190.69,261.22,408
1519,8179.1,270.89,438
1520,8192.69,246.54,462
1521,8188.23,258.04,411
1522,8192.02,251.86,444
1523,8212.37,230.33,443
1524,8192.45,251.22,458
1525,8212.74,250.7,477
1526,8213.83,262.17,501
1527,8209.21,262.22,501
1528,8228.13,238.15,462
1529,8214.05,230.67,507
1530,8237.64,224.64,475
1531,8228.2,242.63,476
1532,8218.14,262.61,494
1533,8220.07,261.96,522
1534,8258.99,195.62,529
1535,8231.26,235.63,518
1536,8233.44,253.77,539
1537,8251.08,233.52,542
1538,8239.85,235.65,504
1539,8250.66,218.91,509
1540,8252.94,217.45,540
1541,8245.81,232.62,544
1542,8253.07,239.17,574
1543,8239.43,264.46,541
1544,8254.06,259.55,529
1545,8252.48,257.3,563
1546,8268.31,217.4,528
1547,8257.15,263.08,579
1548,8265.72,232.84,548
1549,8268.58,250.92,546
1550,8271.0,238.92,536
1551,8283.06,229.24,547
1552,8270.92,240.53,550
1553,8275.19,240.72,572
1554,8281.5,226.16,561
1555,8269.74,235.45,615
1556,8279.9,260.75,584
1557,8295.3,227.79,595
1558,8289.48,249.83,603
1559,8290.7,229.07,605
1560,8291.14,211.81,530
1561,8285.81,230.98,568
1562,8279.27,250.14,614
1563,8306.5,230.78,546
1564,8298.43,235.82,620
1565,8311.92,241.81,599
1566,8304.84,240.12,643
1567,8290.87,248.8,565
1568,8309.18,233.39,555
1569,8306.35,241.12,578
1570,8304.94,231.89,616
1571,8299.87,245.68,570
1572,8302.5,250.92,563
1573,8288.28,266.86,618
1574,8317.13,241.47,589
1575,8303.17,248.19,560
1576,8325.4,212.95,605
1577,8293.14,267.27,587
1578,8289.42,274.45,579
1579,8320.57,247.36,578
1580,8314.38,256.01,573
1581,8302.1,262.38,604
1582,8328.83,217.71,550
1583,8325.45,272.3,593
1584,8291.54,263.87,603
1585,8321.9,265.52,577
1586,8318.04,243.51,574
1587,8330.44,260.84,618
1588,8315.15,274.08,586
1589,8341.16,244.18,610
1590,8330.67,255.48,629
1591,8316.43,272.08,603
1592,8334.14,248.49,581
1593,8341.02,253.83,584
1594,8330.02,252.89,579
1595,8334.9,261.7,556
1596,8338.33,265.06,621
1597,8339.13,272.12,613
1598,8334.2,269.42,601
1599,8336.5,253.09,603
1600,8333.24,275.85,612
1601,8364.48,247.01,533
1602,8361.13,239.5,616
1603,8350.17,269.55,578
1604,8326.33,294.68,594
1605,8339.79,276.69,571
1606,8331.68,266.84,613
1607,8364.38,258.36,617
1608,8373.04,253.0,575
1609,8344.35,253.92,567
1610,8386.0,240.35,597
1611,8357.01,272.86,594
1612,8347.54,274.31,576
1613,8358.19,267.0,616
1614,8370.94,268.5,614
1615,8372.88,243.77,603
1616,8383.58,244.31,609
1617,8382.66,250.46,591
1618,8371.1,277.04,621
1619,8380.21,260.48,614
1620,8383.31,248.77,655
1621,8374.77,275.98,621
1622,8373.26,256.01,591
1623,8389.92,246.4,599
1624,8391.96,249.12,610
1625,8378.64,262.26,637
1626,8394.97,268.86,636
1627,8405.88,249.51,646
1628,8397.0,255.56,596
1629,8390.12,266.89,568
1630,8394.26,273.55,647
1631,8391.09,276.36,647
1632,8397.87,292.68,560
1633,8403.34,272.62,584
1634,8416.78,268.04,631
1635,8422.64,249.31,617
1636,8414.28,261.37,615
1637,8413.26,255.55,660
1638,8417.47,268.5,634
1639,8423.86,262.99,604
1640,8419.5,270.96,644
1641,8429.11,256.83,675
1642,8420.02,259.28,692
1643,8421.31,279.35,664
1644,8435.73,271.17,662
1645,8428.54,269.0,677
1646,8447.88,259.5,662
1647,8436.7,258.1,645
1648,8424.06,281.67,666
1649,8446.93,265.12,656
1650,8432.44,276.85,661
1651,8447.17,273.22,668
1652,8437.04,289.48,670
1653,8446.01,294.19,678
1654,8458.96,287.09,669
1655,8451.35,260.57,627
1656,8432.54,306.63,636
1657,8458.34,280.76,674
1658,8446.65,291.73,657
1659,8459.64,266.38,698
1660,8471.63,257.6,693
1661,8451.9,286.52,699
1662,8466.95,281.83,711
1663,8466.34,273.18,708
1664,8472.03,288.23,742
1665,8475.0,281.19,732
1666,8471.64,274.62,717
1667,8465.26,287.32,730
1668,8477.12,277.45,708
1669,8483.73,268.24,730
1670,8470.28,304.63,761
1671,8478.6,299.97,766
1672,8474.2,297.73,758
1673,8473.85,304.29,777
1674,8498.25,299.71,704
1675,8487.91,277.37,750
1676,8491.52,276.56,719
1677,8503.83,267.19,726
1678,8492.75,287.32,754
1679,8482.78,312.12,766
1680,8497.19,284.53,758
1681,8493.59,294.8,740
1682,8523.81,269.74,771
1683,8511.87,299.25,766
1684,8505.9,297.55,796
1685,8501.9,317.15,838
1686,8502.59,306.57,799
1687,8502.52,327.86,836
1688,8494.41,324.84,820
1689,8515.41,305.45,760
1690,8522.28,307.9,746
1691,8517.64,307.73,811
1692,8518.28,313.67,786
1693,8515.79,312.11,820
1694,8519.46,316.71,825
1695,8519.12,303.27,834
1696,8545.66,313.73,868
1697,8537.83,309.74,803
1698,8514.06,337.8,870
1699,8546.74,323.18,843
1700,8540.59,317.89,801
1701,8542.7,316.09,888
1702,8564.66,291.13,758
1703,8544.03,324.8,771
1704,8549.65,325.98,836
1705,8548.95,313.72,755
1706,8553.02,326.61,811
1707,8559.0,311.51,853
1708,8562.71,325.48,858
1709,8552.14,340.44,853
1710,8562.03,330.1,800
1711,8543.95,346.81,855
1712,8562.14,340.9,843
1713,8563.4,345.21,853
1714,8578.35,317.91,842
1715,8554.05,351.59,844
1716,8575.58,338.22,861
1717,8567.94,343.96,809
1718,8596.7,315.23,827
1719,8592.12,333.41,826
1720,8590.69,327.13,867
1721,8604.03,311.84,893
1722,8598.76,333.29,842
1723,8580.17,362.05,822
1724,8593.16,328.11,899
1725,8611.02,313.58,872
1726,8603.19,325.27,870
1727,8623.94,320.65,880
1728,8619.88,326.33,889
1729,8621.06,313.82,873
1730,8617.32,326.16,854
1731,8620.23,337.31,820
1732,8624.04,334.65,887
1733,8631.58,336.94,883
1734,8625.71,324.83,858
1735,8631.34,331.39,830
1736,8654.85,300.06,856
1737,8603.41,356.64,877
1738,8621.3,366.68,879
1739,8638.13,328.27,857
1740,8667.74,303.29,882
1741,8650.89,340.52,913
1742,8634.78,359.54,879
1743,8643.56,326.88,929
1744,8642.13,335.23,909
1745,8658.57,343.44,836
1746,8648.7,341.31,874
1747,8652.47,342.52,910
1748,8651.94,339.77,929
1749,8639.63,357.89,916
1750,8671.8,340.04,880
1751,8679.04,324.67,902
1752,8689.27,332.52,908
1753,8659.8,357.18,979
1754,8653.74,370.76,900
1755,8672.18,346.2,919
1756,8690.59,328.77,911
1757,8676.56,342.09,924
1758,8666.82,363.5,931
1759,8660.77,362.32,936
1760,8643.6,375.74,945
1761,8678.73,363.57,903
1762,8673.5,356.69,929
1763,8653.45,376.77,959
1764,8653.74,368.19,924
1765,8672.3,369.43,949
1766,8653.76,386.57,924
1767,8683.87,362.5,918
1768,8655.33,382.16,1003
1769,8675.81,365.16,963
1770,8652.96,397.07,952
1771,8674.61,374.18,960
1772,8662.25,378.45,999
1773,8653.96,398.43,981
1774,8656.06,392.06,979
1775,8664.4,385.92,986
1776,8652.67,405.19,1014
1777,8640.03,418.3,966
1778,8653.17,402.08,1007
1779,8643.62,416.89,1000
1780,8628.89,427.67,1110
1781,8622.17,418.81,1060
1782,8632.82,420.34,1043
1783,8621.6,435.31,1041
1784,8645.98,417.12,1054
1785,8621.32,423.54,1040
1786,8622.21,431.18,1087
1787,8652.91,413.22,1039
1788,8639.36,437.24,1035
1789,8611.59,440.19,1122
1790,8645.36,430.08,1049
1791,8593.21,457.55,1095
1792,8599.69,454.74,1125
1793,8582.14,454.86,1027
1794,8605.07,452.92,1152
1795,8590.91,458.15,1101
1796,8600.77,452.97,1177
1797,8602.97,457.16,1094
1798,8590.36,452.81,1152
1799,8592.3,456.61,1162
1800,8626.03,458.95,1148
1801,8570.04,470.17,1149
1802,8576.81,479.9,1163
1803,8593.11,474.04,1164
1804,8578.47,482.29,1214
1805,8577.64,475.28,1212
1806,8554.64,490.82,1205
1807,8587.33,481.3,1225
1808,8539.46,481.03,1209
1809,8580.67,486.73,1267
1810,8562.12,486.37,1222
1811,8550.8,494.29,1228
1812,8548.61,497.13,1226
1813,8580.03,481.49,1271
1814,8567.52,493.66,1253
1815,8538.1,504.61,1267
1816,8561.87,497.53,1300
1817,8549.09,504.97,1315
1818,8524.51,495.92,1280
1819,8579.84,503.22,1315
1820,8555.56,506.08,1317
1821,8541.78,506.37,1333
1822,8527.71,519.75,1270
1823,8557.57,503.45,1336
1824,8551.43,511.09,1272
1825,8558.68,516.78,1360
1826,8546.25,507.5,1269
1827,8585.68,507.67,1319
1828,8561.53,521.73,1362
1829,8560.78,516.51,1336
1830,8545.72,530.24,1374
1831,8549.86,510.7,1412
1832,8577.76,524.41,1388
1833,8557.46,528.24,1393
1834,8546.65,534.66,1341
1835,8545.56,541.26,1428
1836,8571.22,542.56,1336
1837,8556.23,533.37,1428
1838,8574.52,542.5,1390
1839,8578.81,535.55,1370
1840,8553.35,539.07,1371
1841,8541.77,548.0,1376
1842,8557.87,550.83,1423
1843,8570.54,550.88,1438
1844,8596.35,551.28,1330
1845,8541.98,553.85,1356
1846,8567.5,556.57,1420
1847,8579.24,558.05,1450
1848,8584.42,563.0,1366
1849,8574.07,552.0,1363
1850,8556.77,556.03,1386
1851,8601.86,576.12,1393
1852,8564.93,573.24,1401
1853,8601.93,574.92,1374
1854,8580.34,583.45,1427
1855,8620.41,580.63,1430
1856,8572.14,583.83,1411
1857,8645.38,582.87,1337
1858,8622.7,585.1,1377
1859,8576.83,593.84,1420
1860,8612.63,588.63,1397
1861,8605.42,591.76,1455
1862,8605.52,599.0,1430
1863,8611.75,599.44,1496
1864,8608.39,604.04,1358
1865,8655.72,601.47,1386
1866,8626.15,603.75,1348
1867,8613.65,611.42,1478
1868,8629.35,611.65,1423
1869,8633.65,614.33,1424
1870,8601.75,616.74,1409
1871,8647.75,622.01,1425
1872,8663.25,620.08,1412
1873,8642.7,620.79,1380
1874,8650.61,639.01,1426
1875,8620.78,642.27,1447
1876,8618.61,636.23,1397
1877,8649.91,638.06,1466
1878,8634.32,641.93,1422
1879,8661.46,636.73,1388
1880,8637.32,640.73,1371
1881,8673.8,654.18,1462
1882,8642.48,649.0,1506
1883,8663.1,652.19,1433
1884,8642.59,659.26,1551
1885,8670.04,659.98,1467
1886,8668.69,653.28,1489
1887,8663.6,666.13,1509
1888,8665.29,670.64,1473
1889,8651.19,666.6,1572
1890,8670.17,663.3,1511
1891,8666.41,670.7,1557
1892,8695.11,669.45,1598
1893,8656.7,681.67,1588
1894,8666.81,682.21,1571
1895,8642.63,688.23,1593
1896,8649.96,678.92,1529
1897,8663.87,689.79,1534
1898,8661.74,686.61,1680
1899,8654.42,696.53,1674
1900,8681.72,695.61,1587
1901,8677.41,689.97,1673
1902,8688.08,691.25,1659
1903,8668.84,703.25,1648
1904,8710.82,696.3,1702
1905,8669.1,704.37,1708
1906,8707.32,697.42,1728
1907,8672.33,709.94,1810
1908,8702.71,704.65,1770
1909,8663.63,706.57,1819
1910,8688.13,713.92,1776
1911,8670.57,717.47,1776
1912,8692.56,709.27,1835
1913,8698.2,714.47,1815
1914,8664.0,704.53,1803
1915,8648.54,718.7,1925
1916,8685.06,718.06,1872
1917,8706.7,720.53,1923
1918,8656.86,716.22,1923
1919,8691.47,721.62,1931
1920,8694.8,721.12,1967
1921,8696.37,730.1,1978
1922,8687.58,728.44,2000
1923,8671.51,734.3,1976
1924,8668.52,728.82,1884
1925,8704.12,729.66,1946
1926,8707.02,735.18,2084
1927,8709.88,733.8,1979
1928,8700.05,731.15,1974
1929,8704.66,735.71,2076
1930,8697.07,737.36,2071
1931,8702.41,741.12,2096
1932,8709.92,736.01,2067
1933,8679.25,742.14,2047
1934,8718.92,736.7,2085
1935,8719.44,745.3,2112
1936,8694.33,745.82,2125
1937,8698.87,745.2,1991
1938,8723.03,743.1,2173
1939,8712.89,747.77,2102
1940,8703.2,753.04,2058
1941,8714.83,749.29,2118
1942,8746.29,750.69,2094
1943,8733.86,748.03,2182
1944,8688.98,757.51,2135
1945,8710.38,756.32,2175
1946,8746.19,748.99,2169
1947,8747.61,763.0,2104
1948,8757.0,746.35,2229
1949,8741.58,753.48,2079
1950,8720.37,757.9,2209
1951,8762.53,752.12,2093
1952,8758.38,756.28,2101
1953,8761.27,766.77,2209
1954,8724.32,765.88,2106
1955,8745.9,763.15,2208
1956,8721.55,768.23,2200
1957,8755.77,766.74,2229
1958,8787.93,764.28,2080
1959,8783.61,767.91,2182
1960,8755.0,768.66,2189
1961,8771.18,767.53,2110
